CRS_CODE,CRS_NAME
TMSDEVSESD01,MSc Development and Planning: Env & Sust Dev
TMSDEVSESP01,MSc Development and Planning: Euro Spatial
TMSDEVSSDP01,MSc Development and Planning: Social Devel
TMSDEVSTCP01,MSc Development and Planning: Town & Country Pln
TMSDEVSUED01,MSc Development and Planning: Urban Econ
TMSDEVSURG01,MSc Development and Planning: Urban Regen
TMSEPISDPH01,MSc Dental Public Health
TMSEARSGEO01,MSc Geoscience
TMSEARSMPL01,MSc Micropalaeontology
TMSECOSERE01,MSc Environmental and Resource Economics
TMSECOSING01,MSc Economics
TMSEDISCDP01,MSc Children's Dentistry (Paedodontics)
TMSEDISCND01,MSc Conservative Dentistry
TMSEDISDMS01,MSc Dental Materials Science
TMSEDISEOP01,MSc Experimental Oral Pathology
TMSEDISORM01,MSc Oral Medicine
TMSEDISORT01,MSc Orthodontics
TMSEDISPRD01,MSc Prosthetic Dentistry
TMSEDISTOH01,MSc Transcultural Oral Health
TMSEENSTBC01,MSc Technologies for Broadband Communications
TMSEMISING01,MSc Enterprise and the Management of Innovation
TMSEPISSOC01,MSc Health and Society: Social Epidemiology
TMSGEMSGED01,MSc Geodesy
TMSGEMSHYD01,MSc Hydrographic Surveying
TMSGEMSNUM01,MSc Numerical Methods in Photogramm & Surv
TMSGEOSCON01,MSc Conservation
TMSGEOSESS01,"MSc Environment, Science and Society"
TMSGEOSGLO01,MSc Geographies of Globalisation
TMSGEOSMSP01,"MSc Modernity, Space and Place"
TMSGISSING01,MSc Geographic Information Science
TMSHCISERG01,MSc Human-Computer Interaction with Ergonomics
TMSHCISERG06,MSc Human-Computer Interaction with Ergonomics
TMSHPSSSMT01,"MSc History of Science, Medicine and Technology"
TPGDEVSBUD01,Grad Dip Development and Planning: Build & Urb D D
UBSEARSGEL01,BSc Geology
UBSEARSPAL01,BSc Palaeobiology
UBSGENSHUM01,BSc Human Genetics
UBSGEOSENV01,BSc Environmental Geography
UBSGEOSING01,BSc Geography
UBSHPSSSCP01,BSc Science Communication and Policy
UBSHPSSSSS01,"BSc History, Philosophy & Social Studs of Sci"
UBSHSCSING01,BSc Human Sciences
UBSINFSMGT01,BSc Information Management
UBSEINSAUD01,BSc Audiology
UBSMATASTA01,BSc Mathematics and Statistical Science
UBSMATSING01,BSc Mathematics
UBSMATWBOL01,BSc Mathematics with Biology
UBSMATWECO01,BSc Mathematics with Economics
UBSMATWLAN01,BSc Mathematics with Modern Languages
UBSMATWMAN01,BSc Mathematics with Management Studies
UBSPHLAPHA01,BSc Physiology and Pharmacology
UBSPHLSCBL01,BSc Cell Biology
UBSPHLSING01,BSc Physiology
UBSPHLSMCB01,BSc Molecular Cell Biology
UBSPHYSTPH01,BSc Theoretical Physics
UBSPHYWMPH01,BSc Physics with Medical Physics
UBSPHYWSPS01,BSc Physics with Space Science
UBSPODSING01,BSc Podiatry
UBSSHSSING01,BSc Social and Historical Sciences
UBSSPESCMN01,BSc Speech Communication
UBSSPESING01,BSc Speech Sciences
UBSSTASSCE01,"BSc Statistics, Computing, Op. Research & Econ"
UBSSTASSEE01,"BSc Statistics, Op. Research, Econ & Euro Lang"
UBSSTAWEUR01,BSc Statistics with a European Language
UBSSTAWMAN01,BSc Statistics & Op. Research with Man. Studs
UBSZOOSING01,BSc Zoology
UMNBENSING01,MEng Biochemical Engineering
UMNBENWCEN01,MEng Biochemical with Chemical Engineering
UMNCENSING01,MEng Chemical Engineering
UMNCENWABR01,MEng Chemical Engineering with Study Abroad
UMNCENWBEN01,MEng Chemical with Biochemical Engineering
UMNCIVSING01,MEng Civil Engineering
UMNCIVSINT01,MEng Civil Engineering (International Programme)
UMNCIVWENV01,MEng Civil with Environmental Engineering
UMNCOMSING01,MEng Computer Science
UMNEENSEUR01,MEng Electronic & Electrical Engineering (Eur)
UMNEENSINT01,MEng Electronic & Electrical Engineering (Int)
UMNEENWCOM01,MEng Electronic Engineering with Computer Sci
UMNEENWMAN01,MEng Electronic Engineering with Management Stud
UMNEENWMEL01,MEng Electronic Engineering with Medical Elec
UMNENVSINT01,MEng Environmental Engineering (Internat Prog)
UMNMECSING01,MEng Mechanical Engineering
UMNMECWBFN01,MEng Engineering with Business Finance
UMNNAVAMAR01,MEng Naval Architecture and Marine Engineering
UMNSTRSING01,MEng Structural Engineering
UMSASTAPHY01,MSci Astronomy and Physics
UMSASTSING01,MSci Astronomy
UMSASTSPHY01,MSci Astrophysics
UMSCHESING01,MSci Chemistry
UMSCHESINT01,MSci Chemistry (International Programme)
UMSCHESMED01,MSci Medicinal Chemistry
UMSCHESPHY01,MSci Chemical Physics
UMSCHEWEUR01,MSci Chemistry with a European Language
UMSCHEWMAT01,MSci Chemistry with Mathematics
UMSCOMSING01,MSci Computer Science
UMSCOMSINT01,MSci Computer Science (International Programme)
UMSCOMWCOG01,MSci Computer Science with Cognitive Science
UMSEARSEGP01,MSci Environmental Geophysics
UMSEARSEGS01,MSci Environmental Geoscience
TPGHYPSCLA01,Grad Dip Clinical and Applied Hypnosis (Modular)
TPGHYPSDEN01,Grad Dip Hypnosis Applied to Dentistry (Modular)
TPGHYPSMED01,Grad Dip Hypnosis Applied to Medicine (Modular)
TPGHYPSRES01,Grad Dip Hypnosis Applied to Research (Modular)
TPGICHSICH01,Grad Dip International Child Health
TPGICHSMCH01,Grad Dip Mother and Child Health
TPGIFCSMYC01,Grad Dip Medical Mycology
TPGIMMSMMD01,Grad Dip Molecular Medicine
TPGIMMSMPT01,Grad Dip Molecular Pathology
TPGINFSSCI01,Grad Dip Information Science
TPGEINSAUD01,Grad Dip Audiology
TPGEINSAUS01,Grad Dip Audiological Science
TPGEINSCCA01,Grad Dip Clinical Competency in Audiology
TPGLINSING01,Grad Dip Linguistics
TPGMATSMDL01,Grad Dip Mathematical Modelling
TPGMECSING01,Grad Dip Mechanical Engineering
TPGMECSMAR01,Grad Dip Marine Engineering
TPGNAVSING01,Grad Dip Naval Architecture
TPGOCESSUB01,Grad Dip Ocean and Subsea Engineering
TPGPETSING01,Grad Dip Petroleum Technology
TPGPHHSADV01,Grad Dip Advanced Physiotherapy
TPGPHLSCLX01,Grad Dip Clinical Exercise
TPGPHLSHPX01,Grad Dip Human Performance under Extreme Condits
TPGPHOSING01,Grad Dip Phonetics
TPGPHTWREM01,Grad Dip Photogrammetry with Remote Sensing
TPGPHYSING01,Grad Dip Physics
TPGPOLSING01,Grad Dip Political Studies
