COD_CODE,COD_NAME
577,West Glamorgan
579,Wales - County not Known
592,Alderney
593,Guernsey
594,Jersey
595,Isle of Man
599,Channel Islands - General
601,Yemen
602,Afghanistan
603,Albania
605,Andorra
606,Angola
607,Antigua and Barbuda
608,Argentina
609,Australia
610,Austria
611,Bahamas
612,Bahrain
614,Belgium
615,Bermuda
616,Bhutan
617,Bolivia
618,Botswana
619,Brazil
620,Brunei Darussalam
621,Bulgaria
622,Burma (Myanmar)
623,Burundi
625,Cameroon
626,Canada
627,Central African Republic
628,Sri Lanka
629,Chad
630,Chile
631,China
632,Colombia
294,Annandale & Eskdale
299,Scottish Region - General
884,South Sudan
885,Curacao
886,Sint Maarten (Dutch Part)
887,"Bonaire, Sint Eustatius and Saba"
889,Saint Barthélemy
0,Unknown - not to be used
